2024-09-21 17:38:10 startup archives install
2024-09-21 17:38:11 install base-passwd:armhf <none> 3.5.47
2024-09-21 17:38:11 status half-installed base-passwd:armhf 3.5.47
2024-09-21 17:38:11 status unpacked base-passwd:armhf 3.5.47
2024-09-21 17:38:11 configure base-passwd:armhf 3.5.47 3.5.47
2024-09-21 17:38:11 status half-configured base-passwd:armhf 3.5.47
2024-09-21 17:38:15 status installed base-passwd:armhf 3.5.47
2024-09-21 17:38:15 startup archives install
2024-09-21 17:38:15 install base-files:armhf <none> 11ubuntu5
2024-09-21 17:38:15 status half-installed base-files:armhf 11ubuntu5
2024-09-21 17:38:16 status unpacked base-files:armhf 11ubuntu5
2024-09-21 17:38:16 configure base-files:armhf 11ubuntu5 11ubuntu5
2024-09-21 17:38:18 status half-configured base-files:armhf 11ubuntu5
2024-09-21 17:38:21 status installed base-files:armhf 11ubuntu5
2024-09-21 17:38:25 startup archives install
2024-09-21 17:38:25 upgrade dpkg 1.19.7ubuntu3 1.19.7ubuntu3
2024-09-21 17:38:25 status half-configured dpkg 1.19.7ubuntu3
2024-09-21 17:38:25 status unpacked dpkg 1.19.7ubuntu3
2024-09-21 17:38:25 status half-installed dpkg 1.19.7ubuntu3
2024-09-21 17:38:26 status unpacked dpkg:armhf 1.19.7ubuntu3
2024-09-21 17:38:26 configure dpkg:armhf 1.19.7ubuntu3 1.19.7ubuntu3
2024-09-21 17:38:27 status half-configured dpkg:armhf 1.19.7ubuntu3
2024-09-21 17:38:27 status installed dpkg:armhf 1.19.7ubuntu3
2024-09-21 17:38:27 startup archives install
2024-09-21 17:38:28 install libc6:armhf <none> 2.31-0ubuntu9
2024-09-21 17:38:28 status half-installed libc6:armhf 2.31-0ubuntu9
2024-09-21 17:38:31 status unpacked libc6:armhf 2.31-0ubuntu9
2024-09-21 17:38:32 configure libc6:armhf 2.31-0ubuntu9 2.31-0ubuntu9
2024-09-21 17:38:32 status half-configured libc6:armhf 2.31-0ubuntu9
2024-09-21 17:38:34 status installed libc6:armhf 2.31-0ubuntu9
2024-09-21 17:38:34 startup archives install
2024-09-21 17:38:34 install perl-base:armhf <none> 5.30.0-9build1
2024-09-21 17:38:34 status half-installed perl-base:armhf 5.30.0-9build1
2024-09-21 17:38:35 status unpacked perl-base:armhf 5.30.0-9build1
2024-09-21 17:38:36 configure perl-base:armhf 5.30.0-9build1 5.30.0-9build1
2024-09-21 17:38:36 status half-configured perl-base:armhf 5.30.0-9build1
2024-09-21 17:38:36 status installed perl-base:armhf 5.30.0-9build1
2024-09-21 17:38:36 startup archives install
2024-09-21 17:38:37 install mawk:armhf <none> 1.3.4.20200120-2
2024-09-21 17:38:37 status half-installed mawk:armhf 1.3.4.20200120-2
2024-09-21 17:38:37 status unpacked mawk:armhf 1.3.4.20200120-2
2024-09-21 17:38:37 configure mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2024-09-21 17:38:37 status half-configured mawk:armhf 1.3.4.20200120-2
2024-09-21 17:38:37 status installed mawk:armhf 1.3.4.20200120-2
2024-09-21 17:38:38 startup archives install
2024-09-21 17:38:38 install debconf:all <none> 1.5.73
2024-09-21 17:38:38 status half-installed debconf:all 1.5.73
2024-09-21 17:38:39 status unpacked debconf:all 1.5.73
2024-09-21 17:38:39 configure debconf:all 1.5.73 1.5.73
2024-09-21 17:38:39 status half-configured debconf:all 1.5.73
2024-09-21 17:38:41 status installed debconf:all 1.5.73
2024-09-21 17:38:41 startup archives unpack
2024-09-21 17:38:42 upgrade base-files:armhf 11ubuntu5 11ubuntu5
2024-09-21 17:38:42 status half-configured base-files:armhf 11ubuntu5
2024-09-21 17:38:42 status unpacked base-files:armhf 11ubuntu5
2024-09-21 17:38:42 status half-installed base-files:armhf 11ubuntu5
2024-09-21 17:38:42 status unpacked base-files:armhf 11ubuntu5
2024-09-21 17:38:43 upgrade base-passwd:armhf 3.5.47 3.5.47
2024-09-21 17:38:43 status half-configured base-passwd:armhf 3.5.47
2024-09-21 17:38:43 status unpacked base-passwd:armhf 3.5.47
2024-09-21 17:38:43 status half-installed base-passwd:armhf 3.5.47
2024-09-21 17:38:43 status unpacked base-passwd:armhf 3.5.47
2024-09-21 17:38:44 install bash:armhf <none> 5.0-6ubuntu1
2024-09-21 17:38:44 status half-installed bash:armhf 5.0-6ubuntu1
2024-09-21 17:38:46 status unpacked bash:armhf 5.0-6ubuntu1
2024-09-21 17:38:47 install bsdutils:armhf <none> 1:2.34-0.1ubuntu9
2024-09-21 17:38:47 status half-installed bsdutils:armhf 1:2.34-0.1ubuntu9
2024-09-21 17:38:47 status unpacked bsdutils:armhf 1:2.34-0.1ubuntu9
2024-09-21 17:38:47 install coreutils:armhf <none> 8.30-3ubuntu2
2024-09-21 17:38:47 status half-installed coreutils:armhf 8.30-3ubuntu2
2024-09-21 17:38:48 status unpacked coreutils:armhf 8.30-3ubuntu2
2024-09-21 17:38:49 install dash:armhf <none> 0.5.10.2-6
2024-09-21 17:38:49 status half-installed dash:armhf 0.5.10.2-6
2024-09-21 17:38:49 status unpacked dash:armhf 0.5.10.2-6
2024-09-21 17:38:50 upgrade debconf:all 1.5.73 1.5.73
2024-09-21 17:38:50 status half-configured debconf:all 1.5.73
2024-09-21 17:38:50 status unpacked debconf:all 1.5.73
